days,min,max,mean
1 - 4,1,4,2.5
5 - 9,5,9,7
10 - 14,10,14,12
15 - 19,15,19,17
20 - 29,20,29,24.5
30 - 39,30,39,34.5
40 - 59,40,59,49.5
60 +,60,60,60
